category_id,valid_purchase_events,purchase_stage_users,estimated_transaction_amount,avg_valid_purchase_amount,amount_share_pct,amount_rank
1487580005092295511,44864,16498,418307.97,9.32,6.59,1
1487580006300255120,3810,3003,351672.31,92.30,5.54,2
1487580005268456287,30446,11918,265282.40,8.71,4.18,3
1602943681873052386,36216,9393,186388.51,5.15,2.94,4
1487580006317032337,50552,10710,179951.83,3.56,2.83,5
1487580008246412266,16568,8151,139889.73,8.44,2.20,6
1487580006350586771,4000,2500,138623.97,34.66,2.18,7
1487580013950664926,5896,3611,135889.39,23.05,2.14,8
1487580005595612013,44286,8484,133904.69,3.02,2.11,9
1487580009051717646,3136,2452,114642.44,36.56,1.81,10
