"event_date","daily_events","daily_active_users","daily_active_products","daily_sessions","daily_purchase_users","daily_purchase_sessions","daily_purchase_events","daily_valid_purchase_events","daily_estimated_transaction_amount","daily_user_purchase_conversion_pct","daily_session_purchase_conversion_pct","daily_avg_purchase_event_amount"
"2019-10-01",134927,19230,21265,29361,1001,1019,8467,8466,43495.75,5.21,3.47,5.14
"2019-10-02",190569,33859,28230,44113,1045,1068,9099,9098,45751.52,3.09,2.42,5.03
"2019-10-03",118650,16323,19916,26654,1048,1058,8858,8856,43402.88,6.42,3.97,4.90
"2019-10-04",109957,14732,19350,24165,892,911,7560,7560,35882.15,6.05,3.77,4.75
"2019-10-05",100748,14990,18318,22899,708,724,5933,5933,29209.49,4.72,3.16,4.92
"2019-10-06",175575,31439,26878,40580,834,849,7262,7262,33160.18,2.65,2.09,4.57
"2019-10-07",171089,26427,23658,39378,1116,1133,9363,9363,46785.22,4.22,2.88,5.00
"2019-10-08",139601,20140,21488,32163,1038,1051,8588,8588,42963.09,5.15,3.27,5.00
"2019-10-09",132266,18174,20685,30808,1057,1073,8446,8445,43993.99,5.82,3.48,5.21
"2019-10-10",125497,17127,20201,29013,982,994,8107,8106,41993.68,5.73,3.43,5.18
"2019-10-11",112937,16504,19410,26735,875,887,6911,6910,36048.50,5.30,3.32,5.22
"2019-10-12",105371,14986,18449,23680,780,796,6421,6421,32236.63,5.20,3.36,5.02
"2019-10-13",110705,15627,18924,24599,817,829,7077,7076,35665.85,5.23,3.37,5.04
"2019-10-14",127570,17377,20086,28519,1045,1065,7993,7992,40831.39,6.01,3.73,5.11
"2019-10-15",124178,16950,20254,27351,988,1007,8289,8289,40438.69,5.83,3.68,4.88
"2019-10-16",129512,17488,20911,28674,1089,1108,9088,9087,42749.73,6.23,3.86,4.70
"2019-10-17",127365,17200,20437,29302,1060,1073,9220,9219,45283.98,6.16,3.66,4.91
"2019-10-18",113103,15689,19793,26641,923,939,7911,7910,39810.14,5.88,3.52,5.03
"2019-10-19",98332,14533,18465,23400,687,694,6055,6055,29566.30,4.73,2.97,4.88
"2019-10-20",108215,15658,19189,25468,799,813,6822,6822,34209.99,5.10,3.19,5.01
